Serial	Date Time	ref(µF)	(µF)	(µF)	(µF)	(µF)	(µF)	(°C)
5H-CC50   	24/11/2022 15:40	49,06	49,84	0	0	0	0	31
5H-CC51   	24/11/2022 15:40	49,06	49,88	0	0	0	0	31
5H-CC52   	24/11/2022 15:41	49,06	49,19	0	0	0	0	31
5H-CC53   	24/11/2022 15:41	49,06	50,21	0	0	0	0	31
5H-CC54   	24/11/2022 15:41	49,06	49,25	0	0	0	0	31
5H-CC55   	24/11/2022 15:42	49,06	49,72	0	0	0	0	31
5H-CC56   	24/11/2022 15:42	49,06	49,16	0	0	0	0	31
5H-CC57   	24/11/2022 15:43	49,06	50,3	0	0	0	0	32
5H-CC58   	24/11/2022 15:44	49,06	48,96	0	0	0	0	32
5H-CC59   	24/11/2022 15:44	49,06	48,46	0	0	0	0	32
5H-CC60   	24/11/2022 15:44	49,06	49,89	0	0	0	0	32
5H-CC61   	24/11/2022 15:45	49,06	49,14	0	0	0	0	32
5H-CC62   	24/11/2022 15:45	49,06	49,14	0	0	0	0	32
5H-CC63   	24/11/2022 15:46	49,06	49,71	0	0	0	0	32
5H-CC64   	24/11/2022 15:46	49,06	49,22	0	0	0	0	32
5H-CC65   	24/11/2022 15:47	49,06	49,64	0	0	0	0	32
5H-CC66   	24/11/2022 15:47	49,06	49,74	0	0	0	0	32
5H-CC67   	24/11/2022 15:48	49,06	48,95	0	0	0	0	32
5H-CC68   	24/11/2022 15:48	49,06	50,02	0	0	0	0	32
5H-CC69   	24/11/2022 15:48	49,06	49,93	0	0	0	0	32
5H-CC70   	24/11/2022 15:48	49,06	49,51	0	0	0	0	32
5H-CC71   	24/11/2022 15:49	49,06	48,73	0	0	0	0	32
5H-CC72   	24/11/2022 15:49	49,06	49,05	0	0	0	0	32
7H-AC01   	01/01/2001 01:01	49,87	0	0	0	0	0	0
7H-AC02   	01/01/2001 01:01	49,87	0	0	0	0	0	0
7H-AC03   	01/01/2001 01:01	49,87	0	0	0	0	0	0
7H-AC04   	01/01/2001 01:01	49,87	0	0	0	0	0	0
7H-AC05   	24/11/2022 08:31	49,87	49,11	49,13	49,12	49,38	0	28
7H-AC06   	01/01/2001 01:01	49,87	0	0	0	0	0	0
7H-AC07   	01/01/2001 01:01	49,87	0	0	0	0	0	0
